Gene	Virus	Virus_num	Virally_targeted
AP3B1	Dengue virus 1,Dengue virus 2,Dengue virus 3,Dengue virus 4,Epstein-Barr virus,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 32,Human papillomavirus 33,Human papillomavirus 39,Human papillomavirus 6,SARS-CoV-2	12	Specific
AP3D1	Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 5,Human papillomavirus 6,Human papillomavirus 9	9	Specific
AP3M1	Human immunodeficiency virus 1,Human papillomavirus 31	2	Specific
AP3M2	Human cytomegalovirus	1	Specific
AP4M1	Human T-cell leukemia virus 2	1	Specific
AP5M1	Human cytomegalovirus	1	Specific
AP5S1	Human papillomavirus 8	1	Specific
AP5Z1	Human cytomegalovirus	1	Specific
APBA2	Human cytomegalovirus	1	Specific
APBB1IP	Alkhumra hemorrhagic fever virus,Dengue virus 2,Japanese encephalitis virus,Kunjin virus 	4	Specific
APBB2	Human cytomegalovirus	1	Specific
APC	Human cytomegalovirus,Human papillomavirus 31,Zika virus	3	Specific
APCS	Hepatitis E virus	1	Specific
APEH	Kaposi's sarcoma-associated herpesvirus	1	Specific
APEX1	Human immunodeficiency virus 1,Kaposi's sarcoma-associated herpesvirus	2	Specific
APH1A	Human papillomavirus 8,Human papillomavirus 9,SARS-CoV-1	3	Specific
API5	Human papillomavirus 5,Influenza A virus (H1N1)	2	Specific
APLNR	Hepatitis delta virus	1	Specific
APLP1	Hepatitis E virus	1	Specific
APLP2	Hepatitis C virus,Human cytomegalovirus,Human papillomavirus 5,Influenza A virus (H3N2),Vaccinia virus	5	Specific
APMAP	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Human papillomavirus 8,Human respiratory syncytial virus,Influenza A virus (H1N1)	9	Specific
APOA1	Dengue virus 2,Hepatitis C virus,Human cytomegalovirus,Murid herpesvirus 4,Rubella virus	5	Specific
APOA2	Hepatitis C virus	1	Specific
APOA5	Hepatitis C virus	1	Specific
APOB	Dengue virus 2,Hepatitis C virus,Human cytomegalovirus,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Murid herpesvirus 4,SARS-CoV-2	8	Specific
APOBEC3A	Hepatitis B virus,Human immunodeficiency virus 1	2	Specific
APOBEC3C	Human immunodeficiency virus 1,Simian immunodeficiency virus	2	Specific
APOBEC3F	Hepatitis B virus,Human immunodeficiency virus 1	2	Specific
APOBEC3G	Hepatitis B virus,Human immunodeficiency virus 1	2	Specific
APOD	Human cytomegalovirus	1	Specific
APOE	Hepatitis C virus,Human cytomegalovirus,Human papillomavirus 11	3	Specific
APOH	Hepatitis B virus,Hepatitis C virus,Hepatitis E virus,Human immunodeficiency virus 1	4	Specific
APOL2	HCoV-NL63,Human cytomegalovirus,Influenza A virus (H1N1)	3	Specific
APOL3	Epstein-Barr virus	1	Specific
APOOL	Murid herpesvirus 4,SARS-CoV-1,SARS-CoV-2	3	Specific
APP	Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 8,Influenza A virus (H1N1),Influenza A virus (H3N2),Kaposi's sarcoma-associated herpesvirus	6	Specific
APPBP2	Human herpesvirus 1,SARS-CoV-1,Vaccinia virus	3	Specific
APPL2	Influenza A virus (H1N1)	1	Specific
APRT	Human cytomegalovirus	1	Specific
AQP5	Macaca mulatta polyomavirus 1	1	Specific
AQR	Dengue virus 2,Human cytomegalovirus,Zika virus	3	Specific
AR	Hepatitis B virus	1	Specific
ARAF	Epstein-Barr virus,Human herpesvirus 1,Influenza A virus (H1N1),Influenza A virus (H3N2)	4	Specific
ARAP1	Hepatitis C virus	1	Specific
ARCN1	Human adenovirus C,Influenza A virus (H1N1),Measles virus 	3	Specific
AREG	Hepatitis delta virus,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 5,Human papillomavirus 8,Human papillomavirus 9,SARS-CoV-2	7	Specific
ARF1	Dengue virus 2,Human immunodeficiency virus 1,Human papillomavirus 32,Influenza A virus (H1N1)	4	Specific
ARF3	Influenza A virus (H1N1)	1	Specific
ARF4	Dengue virus 2,Influenza A virus (H1N1)	2	Specific
ARF5	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
ARF6	SARS-CoV-1,SARS-CoV-2	2	Specific
ARFGAP1	Influenza A virus (H1N1)	1	Specific
ARFGEF1	Human cytomegalovirus,Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),SARS-CoV-2	5	Specific
ARFGEF2	Human cytomegalovirus,Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),SARS-CoV-2	5	Specific
ARFGEF3	Human cytomegalovirus,Human papillomavirus 9	2	Specific
ARFIP1	Hepatitis C virus,SARS-CoV-1,SARS-CoV-2	3	Specific
ARFIP2	Hepatitis C virus,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 1a,Human papillomavirus 3,Human papillomavirus 32,Human papillomavirus 33,Human papillomavirus 5,Human papillomavirus 6,Human papillomavirus 8,Human papillomavirus 9	13	Specific
ARFRP1	Influenza A virus (H1N1)	1	Specific
ARHGAP1	Epstein-Barr virus,Human cytomegalovirus,Macaca mulatta polyomavirus 1	3	Specific
ARHGAP10	Human cytomegalovirus	1	Specific
ARHGAP19	Human papillomavirus 31	1	Specific
ARHGAP21	Human papillomavirus 16,Human papillomavirus 18,Influenza A virus (H1N1)	3	Specific
ARHGAP25	Tick-borne encephalitis virus	1	Specific
ARHGAP29	Human cytomegalovirus	1	Specific
ARHGAP31	Human cytomegalovirus	1	Specific
ARHGAP32	Hepatitis C virus	1	Specific
ARHGAP33	Influenza A virus (H1N1)	1	Specific
ARHGAP35	Human cytomegalovirus,Human papillomavirus 16,Human papillomavirus 31	3	Specific
ARHGDIA	Epstein-Barr virus	1	Specific
ARHGEF1	Human cytomegalovirus	1	Specific
ARHGEF10	Influenza A virus (H1N1)	1	Specific
ARHGEF10L	Epstein-Barr virus,Influenza A virus (H1N1)	2	Specific
ARHGEF11	Human cytomegalovirus	1	Specific
ARHGEF12	Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Murid herpesvirus 4	4	Specific
ARHGEF17	Human cytomegalovirus	1	Specific
ARHGEF19	Influenza A virus (H1N1)	1	Specific
ARHGEF2	Dengue virus 2,Influenza A virus (H1N1),SARS-CoV-1,Zika virus	4	Specific
ARHGEF28	Hepatitis C virus,Influenza A virus (H1N1)	2	Specific
ARHGEF4	Dengue virus 2	1	Specific
ARHGEF40	Human cytomegalovirus	1	Specific
ARHGEF5	Human cytomegalovirus	1	Specific
ARHGEF6	Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1	3	Specific
ARHGEF7	Human cytomegalovirus,Human immunodeficiency virus 1	2	Specific
ARID1A	Human immunodeficiency virus 1	1	Specific
ARID2	Alkhumra hemorrhagic fever virus,Dengue virus 1,Human papillomavirus 18,Human papillomavirus 33,Human papillomavirus 8,Tick-borne encephalitis virus	6	Specific
ARID3A	Hepatitis C virus,Human herpesvirus 1	2	Specific
ARIH1	Human papillomavirus 16	1	Specific
ARL1	Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human herpesvirus 1,Human papillomavirus 31,Human papillomavirus 6b,Influenza A virus (H1N1)	7	Specific
ARL15	Human cytomegalovirus	1	Specific
ARL16	Human papillomavirus 33	1	Specific
ARL2	Human papillomavirus 32	1	Specific
ARL6IP4	Human T-cell leukemia virus 2,Kaposi's sarcoma-associated herpesvirus	2	Specific
ARL6IP5	Dengue virus 2,Human cytomegalovirus,Human papillomavirus 31,Human papillomavirus 6b	4	Specific
ARL6IP6	Human papillomavirus 31,SARS-CoV-2	2	Specific
ARL8A	Measles virus ,Rubella virus	2	Specific
ARL8B	Hepatitis C virus,Human cytomegalovirus,Human respiratory syncytial virus,Influenza A virus (H1N1)	4	Specific
ARMC4	Influenza A virus (H1N1)	1	Specific
ARMC5	Human papillomavirus 16,Kaposi's sarcoma-associated herpesvirus	2	Specific
ARMC6	Hepatitis C virus,Human cytomegalovirus,Influenza A virus (H1N1),Influenza A virus (H3N2)	4	Specific
ARMC8	Human cytomegalovirus,Kaposi's sarcoma-associated herpesvirus	2	Specific
ARMC9	Influenza A virus (H1N1)	1	Specific
ARMCX1	Human cytomegalovirus	1	Specific
ARMCX3	Human papillomavirus 11,Human papillomavirus 6b,Influenza A virus (H1N1),MERS-CoV,SARS-CoV-1,SARS-CoV-2	6	Specific
ARMT1	Human cytomegalovirus	1	Specific
ARNT	Hepatitis C virus,Human cytomegalovirus,Influenza A virus (H1N1),Influenza A virus (H4N6),Influenza A virus (H5N1),Influenza A virus (H9N2),SARS-CoV-1	7	Specific
ARNTL	Alkhumra hemorrhagic fever virus,Human herpesvirus 1,Influenza A virus (H3N2),Tick-borne encephalitis virus,Vaccinia virus	5	Specific
ARPC1A	Human cytomegalovirus	1	Specific
ARPC1B	Influenza A virus (H3N2)	1	Specific
ARPC2	Human cytomegalovirus	1	Specific
ARPC4	Influenza A virus (H1N1)	1	Specific
ARRB2	Human immunodeficiency virus 1	1	Specific
ARV1	Human papillomavirus 18	1	Specific
ASAP1	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
ASAP2	Human cytomegalovirus	1	Specific
ASAP3	Human cytomegalovirus	1	Specific
ASB13	Human papillomavirus 16	1	Specific
ASB16	Human papillomavirus 16	1	Specific
ASB17	Human papillomavirus 16	1	Specific
ASB2	Human papillomavirus 16	1	Specific
ASB3	Human papillomavirus 16	1	Specific
ASB4	Human papillomavirus 16	1	Specific
ASB6	Human papillomavirus 16	1	Specific
ASCC1	MERS-CoV	1	Specific
ASCC2	Chikungunya virus,MERS-CoV	2	Specific
ASCC3	MERS-CoV,SARS-CoV-2	2	Specific
ASF1A	Human herpesvirus 3	1	Specific
ASF1B	Human herpesvirus 1,Kaposi's sarcoma-associated herpesvirus	2	Specific
ASGR2	Hepatitis B virus,Hepatitis E virus,Human herpesvirus 1	3	Specific
ASL	Influenza A virus (H3N2)	1	Specific
ASMTL	Human cytomegalovirus	1	Specific
ASPH	Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1),Macaca mulatta polyomavirus 1,Measles virus 	8	Specific
ASPM	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	2	Specific
ASPSCR1	Kaposi's sarcoma-associated herpesvirus,Rubella virus	2	Specific
ASS1	Human cytomegalovirus,Human papillomavirus 9,Influenza A virus (H1N1)	3	Specific
ASXL1	Hepatitis C virus,Influenza A virus (H3N2)	2	Specific
ATAD1	Dengue virus 2,Human papillomavirus 18,Influenza A virus (H1N1),MERS-CoV	4	Specific
ATAD3A	Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	11	Specific
ATAD3B	Hepatitis C virus,Human cytomegalovirus,Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),MERS-CoV	6	Specific
ATE1	Human cytomegalovirus,Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1,SARS-CoV-2,Zika virus	5	Specific
ATF1	Gallid alphaherpesvirus 2,Gallid herpesvirus 2,Human adenovirus A,Human adenovirus C,Human T-cell leukemia virus 1	5	Specific
ATF2	Gallid alphaherpesvirus 2,Gallid herpesvirus 2,Human adenovirus C,Human T-cell leukemia virus 1,Kaposi's sarcoma-associated herpesvirus	5	Specific
ATF3	Gallid alphaherpesvirus 2,Gallid herpesvirus 2,Hepatitis B virus,Human adenovirus C,Human T-cell leukemia virus 1,Rubella virus	6	Specific
ATF4	Human papillomavirus 8,Human T-cell leukemia virus 1	2	Specific
ATF6	Hepatitis C virus,Human cytomegalovirus,Murid herpesvirus 4	3	Specific
ATF6B	Hepatitis C virus	1	Specific
ATF7	Gallid alphaherpesvirus 2,Gallid herpesvirus 2,Human T-cell leukemia virus 1,Kaposi's sarcoma-associated herpesvirus	4	Specific
ATF7IP	Epstein-Barr virus	1	Specific
ATG101	Influenza A virus (H1N1)	1	Specific
ATG12	Hepatitis C virus	1	Specific
ATG2A	Human cytomegalovirus	1	Specific
ATG2B	Human cytomegalovirus,Influenza A virus (H1N1)	2	Specific
ATG3	Human immunodeficiency virus 1	1	Specific
ATG4A	Influenza A virus (H3N2)	1	Specific
ATG4C	Influenza A virus (H1N1)	1	Specific
ATG5	Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1)	3	Specific
ATG7	Human cytomegalovirus	1	Specific
ATG9A	Dengue virus 2,Human cytomegalovirus,Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	5	Specific
ATL1	Influenza A virus (H1N1)	1	Specific
ATL2	Human cytomegalovirus,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
ATL3	Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,MERS-CoV	5	Specific
ATM	Hepatitis C virus,Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2,Zika virus	5	Specific
ATN1	Kunjin virus 	1	Specific
ATP11C	Epstein-Barr virus,HCoV-NL63,Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1,SARS-CoV-2	5	Specific
ATP12A	Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2	3	Specific
ATP13A1	Dengue virus 2,Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,MERS-CoV,SARS-CoV-1,SARS-CoV-2	10	Specific
ATP13A2	Human immunodeficiency virus 1	1	Specific
ATP13A3	Epstein-Barr virus,Human papillomavirus 16,Human papillomavirus 6b,SARS-CoV-1,SARS-CoV-2	5	Specific
ATP1A1	Dengue virus 2,Ebola virus,Epstein-Barr virus,Hepatitis C virus,Human adenovirus C,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Measles virus ,Uukuniemi virus,Vaccinia virus,Zika virus	17	Pan
ATP1A2	Influenza A virus (H1N1)	1	Specific
ATP1A3	Influenza A virus (H1N1),Vaccinia virus,Zika virus	3	Specific
ATP1B1	Hepatitis B virus,Hepatitis C virus,Human cytomegalovirus,Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1,SARS-CoV-2,Zika virus	7	Specific
ATP1B3	Dengue virus 2,Human immunodeficiency virus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus 	5	Specific
ATP23	Human papillomavirus 18	1	Specific
ATP2A1	Dengue virus 2,Hepatitis C virus,Influenza A virus (H1N1),Zika virus	4	Specific
ATP2A2	Dengue virus 2,Ebola virus,Epstein-Barr virus,Hepatitis C virus,Human adenovirus C,Human immunodeficiency virus 1,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Human papillomavirus 8,Human polyomavirus (type JC),Human polyomavirus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Macaca mulatta polyomavirus 1,Measles virus ,Merkel cell polyomavirus,Uukuniemi virus,Zika virus	21	Pan
ATP2A3	Human immunodeficiency virus 1,Influenza A virus (H1N1),SARS-CoV-2	3	Specific
ATP2B1	Dengue virus 2,Epstein-Barr virus,Human immunodeficiency virus 1,Human papillomavirus 11,Influenza A virus (H1N1),SARS-CoV-1	6	Specific
ATP2B2	Zika virus	1	Specific
ATP2B4	Epstein-Barr virus,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,Human respiratory syncytial virus,SARS-CoV-1,SARS-CoV-2	9	Specific
ATP2C1	Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus,Human papillomavirus 11,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 6b,SARS-CoV-1	8	Specific
ATP5F1A	Epstein-Barr virus,Human herpesvirus 1,Human respiratory syncytial virus,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Measles virus 	6	Specific
ATP5F1B	Dengue virus 2,HCoV-229E,Hepatitis C virus,Human immunodeficiency virus 1,Human immunodeficiency virus 2,Human papillomavirus 31,Human papillomavirus 33,Human papillomavirus 8,Human respiratory syncytial virus,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Measles virus ,SARS-CoV-2	13	Specific
ATP5F1C	Dengue virus 2,Epstein-Barr virus,Human papillomavirus 18,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus ,SARS-CoV-2	7	Specific
ATP5F1D	Dengue virus 2,Human immunodeficiency virus 1,Human papillomavirus 31,Influenza A virus (H1N1),Measles virus ,SARS-CoV-1,SARS-CoV-2	7	Specific
ATP5F1E	Influenza A virus (H1N1)	1	Specific
ATP5MC2	Hepatitis C virus,Human cytomegalovirus	2	Specific
ATP5MC3	Human alphaherpesvirus 1,Macaca mulatta polyomavirus 1	2	Specific
ATP5MD	Epstein-Barr virus,Human adenovirus C,Human papillomavirus 11,Human papillomavirus 18,Human papillomavirus 6b,Influenza A virus (H1N1),Measles virus ,Merkel cell polyomavirus,Zika virus	9	Specific
ATP5ME	Dengue virus 2,Human papillomavirus 18,Influenza A virus (H1N1)	3	Specific
ATP5MF	Dengue virus 2,Influenza A virus (H1N1),Influenza A virus (H3N2),Measles virus 	4	Specific
ATP5MG	Dengue virus 2,Epstein-Barr virus,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 8,Influenza A virus (H1N1),Measles virus ,SARS-CoV-2	8	Specific
ATP5MPL	Human herpesvirus 1	1	Specific
ATP5PB	Dengue virus 2,Human cytomegalovirus,Human immunodeficiency virus 1,Human papillomavirus 18,Human papillomavirus 31,Human respiratory syncytial virus,Influenza A virus (H1N1),Measles virus ,SARS-CoV-2,Vaccinia virus	10	Specific
ATP5PD	Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 6b,Influenza A virus (H1N1),Measles virus ,SARS-CoV-2	10	Specific
ATP5PF	Epstein-Barr virus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 6b,Influenza A virus (H1N1),Measles virus ,SARS-CoV-1	10	Specific
ATP5PO	Dengue virus 2,Epstein-Barr virus,Hepatitis C virus,Human immunodeficiency virus 1,Human papillomavirus 16,Human papillomavirus 18,Human papillomavirus 31,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1),Lymphocytic choriomeningitis virus,Measles virus ,SARS-CoV-2	13	Specific
ATP6AP1	Hepatitis B virus,Human immunodeficiency virus 1,Kaposi's sarcoma-associated herpesvirus,SARS-CoV-1,SARS-CoV-2	5	Specific
ATP6AP2	Human cytomegalovirus,Human immunodeficiency virus 1,Kaposi's sarcoma-associated herpesvirus,MERS-CoV	4	Specific
ATP6V0A1	Human cytomegalovirus,Human papillomavirus 16,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	4	Specific
ATP6V0A2	Human cytomegalovirus,SARS-CoV-2	2	Specific
ATP6V0C	Deltapapillomavirus 4,Hepatitis delta virus,Human enterovirus 71,Human papillomavirus 33,Vaccinia virus	5	Specific
ATP6V0D1	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus	2	Specific
ATP6V1A	Dengue virus 2,Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,MERS-CoV,SARS-CoV-2	5	Specific
ATP6V1B2	MERS-CoV	1	Specific
ATP6V1C2	Human herpesvirus 1	1	Specific
ATP6V1E1	Human cytomegalovirus,Human papillomavirus 9	2	Specific
ATP6V1F	Human herpesvirus 1	1	Specific
ATP6V1G1	Human papillomavirus 1a,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H4N6),Influenza A virus (H5N1),Influenza A virus (H7N7),Influenza A virus (H9N2)	7	Specific
ATP6V1H	Human immunodeficiency virus 1,Human papillomavirus 8,Influenza A virus (H1N1),Influenza A virus (H3N2),Kaposi's sarcoma-associated herpesvirus	5	Specific
ATP7A	Human cytomegalovirus	1	Specific
ATP7B	SARS-CoV-1,SARS-CoV-2	2	Specific
ATP8B1	SARS-CoV-2	1	Specific
ATP8B2	SARS-CoV-2	1	Specific
ATP9A	Human cytomegalovirus,Human papillomavirus 18,Human papillomavirus 6b	3	Specific
ATP9B	Hepatitis E virus,Human cytomegalovirus	2	Specific
ATR	Dengue virus 2,HCoV-229E,HCoV-NL63,Human cytomegalovirus,Human respiratory syncytial virus,Influenza A virus (H1N1),SARS-CoV-1,SARS-CoV-2,Zika virus	9	Specific
ATRAID	Human immunodeficiency virus 1	1	Specific
ATRIP	HCoV-229E,Human cytomegalovirus,Influenza A virus (H1N1)	3	Specific
ATRN	Human papillomavirus 6b,Influenza A virus (H1N1)	2	Specific
ATRX	Epstein-Barr virus,Human cytomegalovirus	2	Specific
ATXN1	Chikungunya virus	1	Specific
ATXN10	Dengue virus 2,Ebola virus,HCoV-229E,Hepatitis C virus,Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H3N2),Influenza A virus (H5N1),Kaposi's sarcoma-associated herpesvirus,Measles virus 	10	Specific
ATXN2	Dengue virus 2,Epstein-Barr virus,Human adenovirus C,Influenza A virus (H1N1)	4	Specific
ATXN2L	Ebola virus,Hepatitis C virus,Human herpesvirus 1,Human immunodeficiency virus 1,Influenza A virus (H1N1),Influenza A virus (H5N1),Lymphocytic choriomeningitis virus,Measles virus ,Porcine reproductive and respiratory syndrome virus	9	Specific
AUP1	Dengue virus 2,Human papillomavirus 16,Human papillomavirus 31,Human papillomavirus 33,Human papillomavirus 6b,Human respiratory syncytial virus,Influenza A virus (H1N1),Influenza A virus (H3N2),Measles virus ,Vaccinia virus,Zika virus	11	Specific
AURKA	Hepatitis C virus	1	Specific
AURKB	Human papillomavirus 39,Human papillomavirus 5,Human papillomavirus 9,Measles virus 	4	Specific
AUTS2	Human cytomegalovirus	1	Specific
AXIN1	Dengue virus 2,Hepatitis C virus	2	Specific
AXIN2	Influenza A virus (H3N2)	1	Specific
AXL	Epstein-Barr virus,Hepatitis delta virus,Human papillomavirus 11,Human papillomavirus 6b,Macaca mulatta polyomavirus 1	5	Specific
AZGP1	Hepatitis C virus,Hepatitis E virus,Human cytomegalovirus	3	Specific
AZI2	Dengue virus 2,Kunjin virus ,Vaccinia virus,West Nile virus	4	Specific
AZIN1	Hepatitis E virus	1	Specific
B2M	Epstein-Barr virus,Hepatitis C virus,Human cytomegalovirus,Human herpesvirus 1,Human immunodeficiency virus 1,Human papillomavirus 5,Influenza A virus (H3N2),SARS-CoV-2	8	Specific
B3GALT2	Hepatitis delta virus	1	Specific
B3GALT4	Macaca mulatta polyomavirus 1	1	Specific
B3GALT6	SARS-CoV-1,SARS-CoV-2	2	Specific
B3GAT3	Influenza A virus (H1N1),Kaposi's sarcoma-associated herpesvirus,MERS-CoV,SARS-CoV-1,Zika virus	5	Specific
